Date,Forecast_Price,Lower_CI,Upper_CI
2026-06-30,70.03723193165578,69.59429241479633,70.48017144851524
2026-07-01,70.04900427001922,69.42402236043131,70.67398617960714
2026-07-02,70.05198553933668,69.31027298377217,70.7936980949012
2026-07-03,70.05860565777893,69.22298716786155,70.8942241476963
2026-07-06,70.04990907394334,69.12135348207379,70.9784646658129
2026-07-07,70.04929765404385,69.02439453707582,71.07420077101189
2026-07-08,70.05069956282163,68.93897985485178,71.16241927079149
2026-07-09,70.05146034525373,68.86151331224659,71.24140737826087
2026-07-10,70.05142476777117,68.78835037182678,71.31449916371555
2026-07-13,70.05076751915155,68.71763507871366,71.38389995958944
2026-07-14,70.0507626076465,68.65050047188424,71.45102474340877
2026-07-15,70.05093624701573,68.58681591038717,71.51505658364428
2026-07-16,70.05100198882299,68.52588483864875,71.57611913899723
2026-07-17,70.05095968533759,68.46717634267696,71.63474302799821
2026-07-20,70.0509086341013,68.41047022786705,71.69134704033556
2026-07-21,70.05091660663875,68.35568962100277,71.74614359227473
2026-07-22,70.0509354765351,68.30266002397232,71.79921092909788
2026-07-23,70.05093873978568,68.25119161871247,71.85068586085889
2026-07-24,70.05093232690206,68.20114022688698,71.90072442691714
2026-07-27,70.05092866938142,68.15240312760473,71.94945421115811
2026-07-28,70.05093033355442,68.10489085150796,71.99696981560088
2026-07-29,70.05093212418345,68.05851396489976,72.04335028346713
2026-07-30,70.05093204520165,68.01319133109186,72.08867275931144
2026-07-31,70.05093130826981,67.96885367221287,72.13300894432675
2026-08-03,70.05093110156771,67.92544064519356,72.17642155794186
2026-08-04,70.05093133790876,67.88289728357297,72.21896539224456
2026-08-05,70.05093148458039,67.84117298867389,72.26068998048689
2026-08-06,70.05093143737221,67.800221897552,72.30164097719242
2026-08-07,70.05093136460906,67.76000259507262,72.34186013414549
2026-08-10,70.05093136069095,67.72047732981127,72.38138539157063
2026-08-11,70.05093138846925,67.68161138906862,72.42025138786988
2026-08-12,70.05093139816923,67.64337279341967,72.45849000291878
2026-08-13,70.05093139021592,67.60573208945046,72.49613069098139
2026-08-14,70.05093138394159,67.56866209038739,72.53320067749578
2026-08-17,70.05093138516091,67.53213761041339,72.56972515990843
2026-08-18,70.05093138801296,67.49613525120836,72.60572752481755
2026-08-19,70.05093138838575,67.46063323677933,72.64122953999217
2026-08-20,70.05093138737607,67.42561126770052,72.67625150705162
2026-08-21,70.05093138692091,67.39105038372853,72.71081239011329
2026-08-24,70.05093138718068,67.35693284012993,72.74492993423144
2026-08-25,70.05093138743914,67.32324200072732,72.77862077415095
2026-08-26,70.05093138741456,67.2899622443782,72.81190053045093
2026-08-27,70.05093138730524,67.25707888087709,72.84478389373339
2026-08-28,70.05093138728168,67.22457807481916,72.8772846997442
2026-08-31,70.05093138731765,67.19244677725284,72.90941599738245
2026-09-01,70.05093138733784,67.1606726645006,72.94119011017509
2026-09-02,70.05093138732975,67.1292440830681,72.9726186915914
2026-09-03,70.05093138731934,67.0981499997313,73.00371277490737
2026-09-04,70.05093138731937,67.06737995623749,73.03448281840124
2026-09-07,70.05093138732349,67.03692402818851,73.06493874645847
2026-09-08,70.05093138732472,67.0067727876595,73.09508998698995
2026-09-09,70.05093138732347,66.97691726912011,73.12494550552684
2026-09-10,70.0509313873226,66.94734893829417,73.15451383635104
2026-09-11,70.05093138732283,66.91805966366064,73.18380311098502
2026-09-14,70.05093138732325,66.88904169033431,73.21282108431218
2026-09-15,70.05093138732327,66.86028761608736,73.24157515855919
2026-09-16,70.05093138732312,66.83179036929847,73.27007240534776
2026-09-17,70.05093138732306,66.80354318864224,73.29831958600388
2026-09-18,70.0509313873231,66.77553960435512,73.32632317029109
2026-09-21,70.05093138732315,66.74777342093148,73.35408935371481
2026-09-22,70.05093138732315,66.72023870111819,73.3816240735281
2026-09-23,70.05093138732313,66.6929297510904,73.40893302355586
2026-09-24,70.05093138732313,66.66584110670368,73.43602166794258
2026-09-25,70.05093138732313,66.63896752072858,73.46289525391768
2026-09-28,70.05093138732313,66.61230395098326,73.489558823663
2026-09-29,70.05093138732313,66.58584554928797,73.5160172253583
2026-09-30,70.05093138732313,66.55958765117306,73.5422751234732
2026-10-01,70.05093138732313,66.53352576627843,73.56833700836783
2026-10-02,70.05093138732313,66.50765556938863,73.59420720525763
2026-10-05,70.05093138732313,66.48197289205284,73.61988988259343
2026-10-06,70.05093138732313,66.4564737147438,73.64538905990247
2026-10-07,70.05093138732313,66.4311541595138,73.67070861513247
